IP,Time,Attack Type,Location,Recommended Steps
198.51.100.19,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.214,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.38,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.134,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.127,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.9,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.15,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.231,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.70,2025-02-23 11:30:44,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.58,2025-02-23 11:30:45,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.143,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.148,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.24,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.100,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.41,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.167,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.23,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.74,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.152,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.69,2025-02-23 11:30:47,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.21,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.86,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.229,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.32,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.171,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.130,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.119,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.38,2025-02-23 11:30:49,brute_force,Unknown,Temporarily block the IP and require captcha verification to mitigate rapid brute force attempts.
192.0.2.173,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.93,2025-02-23 11:30:49,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.24,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.136,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.156,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.141,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
203.0.113.9,2025-02-23 11:30:50,brute_force,Unknown,Temporarily block the IP and require captcha verification to mitigate rapid brute force attempts.
203.0.113.168,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.81,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.215,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
192.0.2.171,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
198.51.100.31,2025-02-23 11:30:50,suspicious,Unknown,Monitor the IP activity closely and analyze further to determine if additional actions are necessary.
